"idx","id_mandato_bocel","data_diario","confianca","evento_inferido","metodo_pareamento","motivo_rebaixamento","nome","trecho"
26,"M2012_58017_11_13_190000011533","2013-01-04","media","afastamento","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","MARIA DA CONCEIÇÃO CALDAS RABHA","nossA PÁgInA no FACEbooK FACEbooK.CoM/PrEFEIturAdEAngrA EndErEço: PALÁCIo rAuL PoMPéIA - PrAçA nILo PEçAnHA, 186 – CEntro-CEP.: 23.900-000 - AngrA dos rEIs - rJ Conceição Rabha <<assume a Prefeitura>> P rimeira mulher eleita para governar a cidade, a professora e servidora pública estadual Maria da Conceição Caldas Rabha, 57 anos, tomou posse nesta terça-feira, dia 1º, para administrar a cidade pelos próximos quatro anos. A cerimônia de"
27,"M2024_12190_13_44123_180001976625","2025-01-30","media","suplente_efetivado","nome_de_urna_unico_no_trecho","nome_a_mais_de_120_caracteres_do_termo","VICTOR SAMUEL ALVES ALENCAR","000010393900332025 TERMO DE POSSE DO <<SUPLENTE DE VEREADOR>> PEDRO AL- CÂNTARA CARVALHO DO NASCIMENTO (PP). Aos sete dias do mês de janeiro do ano de dois mil e vinte e cinco, às nove horas e trinta minutos, no Plenário Vereador José Ommati, Sede da Câmara Municipal de Teresina, o Presidente Enzo Samuel Alencar Silva, observando o dispositivo do Artigo 41, da Lei Orgânica do Município de Teresina, realizou-se a solenidade de posse do <<Suplente de Vereador>> Pedro Alcântara Carvalho do Nascimento"
28,"M2020_62294_11_17_250001175656","2024-04-23","media","cassacao","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","LEANDRO MAFFEIS MILANI","LEGISLATIVO Nº 388, DE 22 DE ABRIL DE 2.024. FICA DECRETADA A <<CASSAÇÃO>> D O M A N D A T O D O P R E F E I T O M U N I C I P A L D E B I R I G U I , S R . LEANDRO MAFFEIS MILANI. Projeto de Decreto Legislativo nº 11/2024, de autoria da Mesa Diretora. O Presidente da Câmara Municipal de Birigui: FAÇO SABER que a Câmara Municipal aprovou e eu promulgo o seguinte decreto legislativo: Artigo 1º: Fica decretada a <<cassação>> do mandato do Prefeito Municipal de Birigui, Sr. Leandro Maffeis"
29,"M2016_61239_13_15678_250000060293","2019-06-14","media","suplente_efetivado","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","JAIR ARCANJO DA SILVA","de Denúncia em desfavor do vereador JAIR ARCANJO DA SILVA, e posterior deliberação do plenária acerca do recebimento ou não de referida denúncia. Solicito ainda ao convocado, estar portando documentos pessoais, bem como seu diploma de <<suplente de vereador>>. Apresento os votos de estima e apreço. Álvares Florence, 14 de junho de 2019. MARIA ISABEL CORREA SALES Presidente Exercício 2019 PODER LEGISLATIVO DE ÁLVARES FLORENCE Atos Legislativos Atos 2019-06-14T16:54:58-0300 "
30,"M2020_89575_11_40_210000686551","2021-05-11","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 11 de Maio de 2021. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Terça-feira, 11 de Maio de 2021 - Edição 742 - Lei 4.683/18 _____________________________________________________________________________________"
31,"M2024_70750_13_28123_250002025930","2025-01-10","media","suplente_efetivado","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","IVAN FELICIANO SILVA","das atribuições que lhe são conferidas por lei; R E S O L V E: Convocar, nos termos do parágrafo 1º, do artigo 30, da Lei Orgânica do Município de São Bernardo do Campo, combinado com o inciso XIV, do artigo 30, do Regimento Interno, o <<suplente de Vereador>> pelo Partido Renovador Trabalhista Brasileiro - PRTB, Sr. ARY JOSÉ DE OLIVEIRA, para substituir a partir de 07 de janeiro de 2025, o Vereador IVAN FELICIANO SILVA, investido em cargo de Secretário Municipal. São Bernardo do Campo, em 07"
32,"M2024_72052_13_11211_250002269056","2025-08-12","media","cassacao","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","PEDRO AUGUSTO GRIGOLETO CARVALHO","355-Centro - Fones (18) 3696-1400/ 3696-1207 - CEP 15280-003 - TURIÚBA - SP e-maus: Iegistba@terra.com.br camaraturiuba@camaraturiuba.sp.gov.br site: www.camaraturiuba.sp.gov.br DECRETO LEGISLATIVO N° 65, DE 11 DE AGOSTO DE 2025. Dispõe sobre a <<Cassação>> do Mandato da Vereadora Raquel Isabela Santiago, e dá outras Providências """". A Câmara Municipal de Turiuba - SP, inscrita no CNPJ sob o 01.6714.824/0001-87, representado pelo Presidente PEDRO AUGUSTO GRIGOLETO CARVALHO, no uso de suas atribuições"
33,"M2020_89575_11_40_210000686551","2021-01-06","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER","convocado deve se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 06 de janeiro de 2021. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Quarta-feira, 06 de Janeiro de 2021 - Edição 657 - Lei 4.683/18 _____________________________________________________________________________________"
34,"M2024_61999_11_55_250002380159","2026-07-29","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","RODRIGO PRIMO ANTUNES","convocados comparecerem no prazo de 3 (três) dias úteis no Departamento Pessoal munidos de todos os documentos necessários para a contratação. Ressalte-se, que passado o prazo acima, ficará configurada a <<renúncia>> automática e poderá a Prefeitura convocar o próximo classificado. Barbosa, 29 de Julho de 2026 RODRIGO PRIMO ANTUNES Prefeito Municipal Rodrigo Primo Antunes:2903 4905896 Assinado"
35,"M2020_58530_13_12345_190000648128","2025-02-19","media","suplente_efetivado","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","JULIO CESAR SILVA SANTOS","e o empossado. Maricá, 02 de janeiro 2025. Vereador ALDAIR NUNES ELIAS Presidente Vereador IGOR NUNES CORREA TERMO DE COMPROMISSO E POSSE Aos dois (02) dias do mês de janeiro do ano de dois mil e vinte e cinco, às 10:00 hrs, compareceu o <<Suplente de Vereador>>, o Senhor JULIO CESAR SILVA SANTOS – PDT - eleito em 06 de outubro de 2024 e diplomado pelo Tribunal Eleitoral do Estado do Rio de Janeiro, no Gabinete da Presidência, a fim de tomar posse em vaga decorrente do pedido de licença do Carlos"
36,"M2008_54011_13_33333_63710","2011-03-23","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","JORGE FERREIRA CRUZ FILHO","Jorge Ferreira Cruz Filho, José Severino Rosa, Lourival dos Santos, Luiz Humberto Dutra, Marcelo Machado Borges e Samuel Pereira. TERMO DE POSSE. No 7º dia do mês de fevereiro de 2011 no Plenário da Câmara Municipal de Uberaba, em face de pedido de <<renúncia>> ao mandato, requerido pelo Vereador Antônio dos Reis Gonçalves Lerin, por ter sido eleito Deputado Estadual nas eleições de outubro de 2010, compareceram os Vereadores eleitos para a 16ª Legislatura desta Casa para posse no cargo de Vereador, na"
37,"M2020_33260_11_11_50000869430","2024-06-17","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","RENATO BRANDÃO DE OLIVEIRA"," - Nota Explicativa: MUNICÍPIO DE ANDORINHA - BAHIA LEI DE DIRETRIZES ORÇAMENTÁRIAS ANEXO DE METAS FISCAIS ESTIMATIVA E COMPENSAÇÃO DA <<RENÚNCIA>> DE RECEITA 2025 SETORES/ PROGRAMAS/ BENEFICIÁRIO TOTAL FONTE: Consultoria Tributária Renato Brandão de Oliveira Prefeito Municipal TRIBUTOS MODALIDADE <<RENÚNCIA>> DE RECEITA PREVISTA COMPENSAÇÃO 2025 2026 2027 NAD A DECLARAR Segunda-feira 17 de Junho de 2024 39 - Ano XII - Nº 5432 Andorinha CERTIFICAÇÃO DIGITAL: NDDBQTIWMTK4M0VCQTJGNK"
38,"M2020_89575_11_40_210000686551","2024-03-25","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER"," setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 25 de março de 2024. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Segunda-feira, 25 de Março de 2024 - Edição 1445 - Lei 4.683/18 _____________________________________________________________________________________"
39,"M2024_89575_11_40_210001970800","2025-10-03","media","renuncia","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","GILSON ADRIANO BECKER","deve se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 03 de outubro de 2025. GILSON ADRIANO BECKER Prefeito Vera Cruz/RS, Sexta-feira, 03 de Outubro de 2025 - Edição 1810 - Lei 4.683/18 _____________________________________________________________________________________"
40,"M2024_71137_13_44444_250002350619","2025-07-14","media","suplente_efetivado","nome_completo_no_trecho","sem_ancora_nome_cargo_termo","WILLIAM DA SILVA ALBUQUERQUE","peremptória do prazo estabelecido no art. 5º, VII, do Decreto-Lei nº 201/1967. São Roque, 14 de julho de 2025. WILLIAM DA SILVA ALBUQUERQUE Presidente da Comissão Processante EDITAL N.º 48/2025 - L EDITAL Nº 48/2025-L Convocação de <<Suplente de Vereador>> JULIO ANTONIO MARIANO, Presidente da Câmara Municipal da Estância Turística de São Roque, no uso de suas atribuições legais e regimentais, especialmente nos termos do artigo 345 do Regimento Interno da Câmara e do artigo 52 da Lei Orgânica"
